Attribute,Attribute type,Acceptable values
Accessibility: Assisted listening devices (has_assisted_listening_devices),Yes/No,"Yes, No"
Accessibility: Assistive hearing loop (has_hearing_loop),Yes/No,"Yes, No"
Accessibility: Passenger loading area (has_passenger_loading_area),Yes/No,"Yes, No"
Accessibility: Wheelchair rental (wheelchair_rental_offerings): Motorised (motorized_wheelchairs),Yes/No,"Yes, No"
Accessibility: Wheelchair rental (wheelchair_rental_offerings): Non-motorised (non_motorized_wheelchairs),Yes/No,"Yes, No"
Accessibility: Wheelchair-accessible car park (has_wheelchair_accessible_parking),Yes/No,"Yes, No"
Accessibility: Wheelchair-accessible entrance (has_wheelchair_accessible_entrance),Yes/No,"Yes, No"
Accessibility: Wheelchair-accessible lift (has_wheelchair_accessible_elevator),Yes/No,"Yes, No"
Accessibility: Wheelchair-accessible seating (has_wheelchair_accessible_seating),Yes/No,"Yes, No"
Accessibility: Wheelchair-accessible toilet (has_wheelchair_accessible_restroom),Yes/No,"Yes, No"
Activities: Accepting food donations (accepts_non_monetary_donations),Yes/No,"Yes, No"
Activities: Accepting monetary donations (accepts_monetary_donations),Yes/No,"Yes, No"
Activities: Accepting new volunteers (accepts_new_volunteers),Yes/No,"Yes, No"
Activities: Bicycle hire (has_bicycles_for_rent),Yes/No,"Yes, No"
Amenities: Air conditioning (has_air_conditioning),Yes/No,"Yes, No"
Amenities: Airport shuttle (has_airport_shuttle),Yes/No,"Yes, No"
Amenities: All-inclusive (has_all_inclusive),Yes/No,"Yes, No"
Amenities: Baggage storage (has_baggage_storage),Yes/No,"Yes, No"
Amenities: Bar on site (has_bar_onsite),Yes/No,"Yes, No"
Amenities: Beach access (has_beach_access),Yes/No,"Yes, No"
Amenities: Business centre (has_business_center),Yes/No,"Yes, No"
Amenities: Child care (has_child_care),Yes/No,"Yes, No"
Amenities: Concierge (has_concierge),Yes/No,"Yes, No"
Amenities: Currency exchange (has_currency_exchange),Yes/No,"Yes, No"
Amenities: Dogs allowed (welcomes_dogs),Yes/No,"Yes, No"
Amenities: Fitness centre (has_fitness_center),Yes/No,"Yes, No"
Amenities: Free breakfast (has_free_breakfast),Yes/No,"Yes, No"
Amenities: Gender-neutral toilets (has_restroom_unisex),Yes/No,"Yes, No"
Amenities: Golf course (has_golf_course),Yes/No,"Yes, No"
Amenities: Good for kids (welcomes_children),Yes/No,"Yes, No"
Amenities: Grocery shop (has_onsite_convenience_store),Yes/No,"Yes, No"
Amenities: High chairs (has_high_chairs),Yes/No,"Yes, No"
Amenities: Hot tub (has_hot_tub),Yes/No,"Yes, No"
Amenities: Laundry service (has_laundry_service),Yes/No,"Yes, No"
Amenities: Mechanic (has_mechanic),Yes/No,"Yes, No"
Amenities: Mobile reception (has_cellular_service),Yes/No,"Yes, No"
Amenities: Parking (parking_offerings): Free (free_parking),Yes/No,"Yes, No"
Amenities: Parking (parking_offerings): Paid (paid_parking),Yes/No,"Yes, No"
Amenities: Pets welcome (welcomes_pets),Yes/No,"Yes, No"
Amenities: Picnic tables (has_picnic_tables),Yes/No,"Yes, No"
Amenities: Public toilet (has_restroom_public),Yes/No,"Yes, No"
Amenities: Restaurant (has_restaurant),Yes/No,"Yes, No"
Amenities: Room service (has_room_service),Yes/No,"Yes, No"
Amenities: Slides (has_playground_slides),Yes/No,"Yes, No"
Amenities: Smoke-free place (is_smoke_free_property),Yes/No,"Yes, No"
Amenities: Spa (has_spa),Yes/No,"Yes, No"
Amenities: Stadium seating (has_stadium_seating),Yes/No,"Yes, No"
Amenities: Swimming pool (swimming_pool_offerings): Indoor (indoor_pool),Yes/No,"Yes, No"
Amenities: Swimming pool (swimming_pool_offerings): Outdoor (outdoor_pool),Yes/No,"Yes, No"
Amenities: Swings (has_playground_swings),Yes/No,"Yes, No"
Amenities: Toilets (has_restroom),Yes/No,"Yes, No"
Crowd: Family friendly (welcomes_families),Yes/No,"Yes, No"
Crowd: LGBTQ+ friendly (welcomes_lgbtq),Yes/No,"Yes, No"
Crowd: Transgender safe space (is_transgender_safespace),Yes/No,"Yes, No"
Deities Represented: Brahma (has_deity_brahma_represented),Yes/No,"Yes, No"
Deities Represented: Durga (has_deity_durga_represented),Yes/No,"Yes, No"
Deities Represented: Hanuman (has_deity_hanuman_represented),Yes/No,"Yes, No"
Deities Represented: Krishna (has_deity_krishna_represented),Yes/No,"Yes, No"
Deities Represented: Lakshmi (has_deity_lakshmi_represented),Yes/No,"Yes, No"
Deities Represented: Mahavira (has_deity_mahavira_represented),Yes/No,"Yes, No"
Deities Represented: Neminatha (has_deity_neminatha_represented),Yes/No,"Yes, No"
Deities Represented: Parshvanatha (has_deity_parshvanatha_represented),Yes/No,"Yes, No"
Deities Represented: Rama (has_deity_rama_represented),Yes/No,"Yes, No"
Deities Represented: Rishabhanatha (has_deity_rishabhanatha_represented),Yes/No,"Yes, No"
Deities Represented: Sai Baba (has_deity_sai_baba_represented),Yes/No,"Yes, No"
Deities Represented: Shiva (has_deity_shiva_represented),Yes/No,"Yes, No"
Deities Represented: Vishnu (has_deity_vishnu_represented),Yes/No,"Yes, No"
Dining options: Breakfast (serves_breakfast),Yes/No,"Yes, No"
Dining options: Brunch (serves_brunch),Yes/No,"Yes, No"
Dining options: Catering (has_catering),Yes/No,"Yes, No"
Dining options: Counter service (has_counter_service),Yes/No,"Yes, No"
Dining options: Dessert (serves_dessert),Yes/No,"Yes, No"
Dining options: Dinner (serves_dinner),Yes/No,"Yes, No"
Dining options: Lunch (serves_lunch),Yes/No,"Yes, No"
Dining options: Outside food allowed (allows_outside_food),Yes/No,"Yes, No"
Dining options: Pay ahead (has_order_and_pay_ahead),Yes/No,"Yes, No"
Dining options: Seating (has_seating),Yes/No,"Yes, No"
Emergency help: Accepts donations (accepts_donations_during_crisis),Yes/No,"Yes, No"
Emergency help: Employs refugees (offers_employment_during_crisis),Yes/No,"Yes, No"
Emergency help: Needs volunteers (needs_volunteers_during_crisis),Yes/No,"Yes, No"
Emergency help: Offers accommodation for refugees (offers_refuge_during_crisis),Yes/No,"Yes, No"
Emergency help: Offers free legal help (offers_free_legal_help_during_crisis),Yes/No,"Yes, No"
Emergency help: Offers free products or services (offers_free_products_services_during_crisis),Yes/No,"Yes, No"
Emergency help: Offers transportation of goods or people (offers_transportation_during_crisis),Yes/No,"Yes, No"
Exams: CAT (offers_cat_exam_prep),Yes/No,"Yes, No"
Exams: CBSE Board (offers_cbse_board_exam_prep),Yes/No,"Yes, No"
Exams: CTET (offers_ctet_exam_prep),Yes/No,"Yes, No"
Exams: Civil Services (offers_civil_services_exam_prep),Yes/No,"Yes, No"
Exams: GATE (offers_gate_exam_prep),Yes/No,"Yes, No"
Exams: IBPS Clerk (offers_ibps_clerk_exam_prep),Yes/No,"Yes, No"
Exams: IBPS RBB (offers_ibps_rrb_exam_prep),Yes/No,"Yes, No"
Exams: ICSE Board (offers_icse_board_exam_prep),Yes/No,"Yes, No"
Exams: JEE (offers_jee_exam_prep),Yes/No,"Yes, No"
Exams: JNVST (offers_jnvst_exam_prep),Yes/No,"Yes, No"
Exams: LIC AAO (offers_lic_aao_exam_prep),Yes/No,"Yes, No"
Exams: NEET (offers_neet_exam_prep),Yes/No,"Yes, No"
Exams: SBI Clerk (offers_sbi_clerk_exam_prep),Yes/No,"Yes, No"
Exams: SSC CGL (offers_ssc_cgl_exam_prep),Yes/No,"Yes, No"
Exams: SSC Government (offers_ssc_government_exam_prep),Yes/No,"Yes, No"
Exams: UGC Net (offers_ugc_net_exam_prep),Yes/No,"Yes, No"
Exams: UPSC Government (offers_upsc_government_exam_prep),Yes/No,"Yes, No"
From the business: Identifies as Asian-owned (is_owned_by_asian),Yes/No,"Yes, No"
From the business: Identifies as Black-owned (is_black_owned),Yes/No,"Yes, No"
From the business: Identifies as LGBTQ+ owned (is_owned_by_lgbtq),Yes/No,"Yes, No"
From the business: Identifies as Latino-owned (is_owned_by_latinx),Yes/No,"Yes, No"
From the business: Identifies as veteran-owned (is_owned_by_veterans),Yes/No,"Yes, No"
From the business: Identifies as women-owned (is_owned_by_women),Yes/No,"Yes, No"
Getting here: 24-hour public transport available (has_transit_24_hours),Yes/No,"Yes, No"
Highlights: 3D movies (has_movies_3D),Yes/No,"Yes, No"
Highlights: Active military discounts (has_discounts_for_active_military),Yes/No,"Yes, No"
Highlights: All you can drink (has_all_you_can_drink),Yes/No,"Yes, No"
Highlights: Bar games (has_bar_games),Yes/No,"Yes, No"
Highlights: COVID-19 testing centre (is_covid_19_bool_1),Yes/No,"Yes, No"
